ds,sales,covid_flag,flu_index
2020-07-20T00:00:00.000+0000,36567.6046,1,13
2020-07-27T00:00:00.000+0000,30113.31052,1,0
2020-08-03T00:00:00.000+0000,33358.4869,1,17
2020-08-10T00:00:00.000+0000,26373.219019999997,1,20
2020-08-17T00:00:00.000+0000,30753.590849999997,1,14
2020-08-24T00:00:00.000+0000,32977.98711,1,10
2020-08-31T00:00:00.000+0000,40099.744430000006,1,23
2020-09-07T00:00:00.000+0000,69663.55761999999,1,18
2020-09-14T00:00:00.000+0000,66848.85512,1,46
2020-09-21T00:00:00.000+0000,58725.25934999999,1,43
2020-09-28T00:00:00.000+0000,69179.78861,1,35
2020-10-05T00:00:00.000+0000,74018.9124,1,45
2020-10-12T00:00:00.000+0000,78391.09878999999,1,78
2020-10-19T00:00:00.000+0000,65682.67084,1,77
2020-10-26T00:00:00.000+0000,67414.16268,1,205
2020-11-02T00:00:00.000+0000,53342.7959,1,90
2020-11-09T00:00:00.000+0000,43612.67093000001,1,32
2020-11-16T00:00:00.000+0000,44712.838729999996,1,28
2020-11-23T00:00:00.000+0000,43864.95089000001,1,32
2020-11-30T00:00:00.000+0000,45626.848170000005,1,29
2020-12-07T00:00:00.000+0000,47303.043560000006,1,17
2020-12-14T00:00:00.000+0000,46976.24738,1,26
2020-12-21T00:00:00.000+0000,43218.14341,1,24
2020-12-28T00:00:00.000+0000,48968.834010000006,1,38
2021-01-04T00:00:00.000+0000,49191.998139999996,1,32
2021-01-11T00:00:00.000+0000,44085.83741,1,39
2021-01-18T00:00:00.000+0000,46230.294949999996,1,26
2021-01-25T00:00:00.000+0000,51891.94434,1,28
2021-02-01T00:00:00.000+0000,52434.93601,1,25
2021-02-08T00:00:00.000+0000,52187.12592,1,30
2021-02-15T00:00:00.000+0000,50333.38046,1,23
2021-02-22T00:00:00.000+0000,44988.03908999999,1,22
2021-03-01T00:00:00.000+0000,46312.88242,1,25
2021-03-08T00:00:00.000+0000,48051.37151,1,14
2021-03-15T00:00:00.000+0000,55141.05127999999,1,13
2021-03-22T00:00:00.000+0000,55062.58265,1,31
2021-03-29T00:00:00.000+0000,51526.16218000001,1,25
2021-04-05T00:00:00.000+0000,46578.99815,1,44
2021-04-12T00:00:00.000+0000,42230.15024,1,19
2021-04-19T00:00:00.000+0000,30747.38866,1,19
2021-04-26T00:00:00.000+0000,24353.720459999997,1,16
2021-05-03T00:00:00.000+0000,27428.27584,1,24
2021-05-10T00:00:00.000+0000,32050.369199999997,1,8
2021-05-17T00:00:00.000+0000,38790.521570000004,1,17
2021-05-24T00:00:00.000+0000,35487.03083,1,13
2021-05-31T00:00:00.000+0000,35788.355769999995,1,17
2021-06-07T00:00:00.000+0000,33273.56116,1,9
2021-06-14T00:00:00.000+0000,29275.228109999996,1,10
2021-06-21T00:00:00.000+0000,31384.050890000002,1,12
2021-06-28T00:00:00.000+0000,37072.73728,1,11
2021-07-05T00:00:00.000+0000,42538.49205,1,11
2021-07-12T00:00:00.000+0000,46071.23353,1,6
2021-07-19T00:00:00.000+0000,46345.58846,1,11
2021-07-26T00:00:00.000+0000,44894.58540000001,1,22
2021-08-02T00:00:00.000+0000,45588.79423000001,0,26
2021-08-09T00:00:00.000+0000,39603.91213,0,27
2021-08-16T00:00:00.000+0000,40359.99996,0,11
2021-08-23T00:00:00.000+0000,41620.20925000001,0,10
2021-08-30T00:00:00.000+0000,46092.837179999995,0,11
2021-09-06T00:00:00.000+0000,50508.488509999996,0,14
2021-09-13T00:00:00.000+0000,68209.66789000001,0,26
2021-09-20T00:00:00.000+0000,94925.93171,0,17
2021-09-27T00:00:00.000+0000,113917.89934,0,24
2021-10-04T00:00:00.000+0000,119927.53898000001,0,38
